sp,taxo,group_kernels,group_detection,group_atlas
Sooty/Short-tailed Shearwater,1818,seabirds_pelagics,Shearwaters,Shearwaters
Manx Shearwater,1821,seabirds_pelagics,Shearwaters,Shearwaters
Barolo Shearwater,1838,seabirds_pelagics,Shearwaters,Shearwaters
Audubon's Shearwater,1840,seabirds_pelagics,Shearwaters,Shearwaters
black-and-white shearwater sp.,1854,seabirds_pelagics,Shearwaters,Shearwaters
shearwater sp.,1855,seabirds_pelagics,Shearwaters,Shearwaters
Procellariid sp.,1856.75,seabirds_pelagics,,
Wilson's Storm-Petrel,1857,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Wilson's Storm-Petrel,1857.5,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Oceanites sp.,1864,seabirds_pelagics,Storm-Petrels,Storm-Petrels
White-faced Storm-Petrel,1867,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Fork-tailed Storm-Petrel,1886,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Leach's Storm-Petrel,1890,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Leach's Storm-Petrel,1891,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Band-rumped Storm-Petrel,1898,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Oceanodroma sp.,1911,seabirds_pelagics,Storm-Petrels,Storm-Petrels
storm-petrel sp. (white-rumped),1912.6,seabirds_pelagics,Storm-Petrels,Storm-Petrels
storm-petrel sp.,1916,seabirds_pelagics,Storm-Petrels,Storm-Petrels
White-tailed Tropicbird,1924,,,
Red-tailed Tropicbird,1935,,,
Wood Stork,1941.56,shorebirds_waders,,
Magnificent Frigatebird,1941.76,seabirds_pelagics,,
frigatebird sp.,1941.86,seabirds_pelagics,,
Brown Booby,1954,seabirds_pelagics,,
Brown Booby,1956,seabirds_pelagics,,
Northern Gannet,1964,seabirds_pelagics,Gannets,Gannets
sulid sp.,1967,seabirds_pelagics,,
Brandt's Cormorant,1984,waterfowl_diving,Waterfowl,Diving Waterfowl
Red-faced Cormorant,1984.01,waterfowl_diving,Waterfowl,Diving Waterfowl
Pelagic Cormorant,1984.02,waterfowl_diving,Waterfowl,Diving Waterfowl
Great Cormorant,1984.04,waterfowl_diving,Waterfowl,Diving Waterfowl
Great Cormorant,1984.05,waterfowl_diving,Waterfowl,Diving Waterfowl
Neotropic Cormorant,1985,waterfowl_diving,Waterfowl,Diving Waterfowl
Double-crested Cormorant,1988,waterfowl_diving,Waterfowl,Diving Waterfowl
Great/Double-crested Cormorant,1991,waterfowl_diving,Waterfowl,Diving Waterfowl
Neotropic/Double-crested Cormorant,1992.4,waterfowl_diving,Waterfowl,Diving Waterfowl
cormorant sp.,2055,waterfowl_diving,Waterfowl,Diving Waterfowl
Anhinga,2056,,,
American White Pelican,2069,seabirds_pelagics,,
Brown Pelican,2070,seabirds_pelagics,,
Brown Pelican,2072,seabirds_pelagics,,
Brown Pelican,2073,seabirds_pelagics,,
Great White Pelican,2074.2,seabirds_pelagics,,
pelican sp.,2074.9,seabirds_pelagics,,
American Bittern,2081,shorebirds_waders,,
Least Bittern,2101,shorebirds_waders,,
Great Blue Heron,2118,shorebirds_waders,,
Great Blue Heron,2119,shorebirds_waders,,
Great Blue Heron,2124,shorebirds_waders,,
Gray Heron,2126,shorebirds_waders,,
Gray Heron,2128,shorebirds_waders,,
Great Egret,2144,shorebirds_waders,,
Great Egret,2147,shorebirds_waders,,
Ardea sp.,2149,shorebirds_waders,,
Little Egret,2158,shorebirds_waders,,
Little Egret,2160,shorebirds_waders,,
Western Reef-Heron,2163,shorebirds_waders,,
Western Reef-Heron,2164,shorebirds_waders,,
Snowy Egret,2169,shorebirds_waders,,
Little Blue Heron,2173,shorebirds_waders,,
Tricolored Heron,2174,shorebirds_waders,,
Reddish Egret,2177,shorebirds_waders,,
Cattle Egret,2183,shorebirds_waders,,
Cattle Egret,2184,shorebirds_waders,,
white egret sp.,2187,shorebirds_waders,,
Green Heron,2196,shorebirds_waders,,
Green Heron,2197,shorebirds_waders,,
Green Heron,2198,shorebirds_waders,,
Black-crowned Night-Heron,2233,shorebirds_waders,,
Black-crowned Night-Heron,2235,shorebirds_waders,,
Yellow-crowned Night-Heron,2244,shorebirds_waders,,
Yellow-crowned Night-Heron,2244.5,shorebirds_waders,,
Black-crowned/Yellow-crowned Night-Heron,2251,shorebirds_waders,,
heron sp.,2264,shorebirds_waders,,
White Ibis,2265,shorebirds_waders,,
Glossy Ibis,2268,shorebirds_waders,,
White-faced Ibis,2270,shorebirds_waders,,
Glossy/White-faced Ibis,2271,shorebirds_waders,,
ibis sp.,2315.5,shorebirds_waders,,
Roseate Spoonbill,2324,shorebirds_waders,,
Black Vulture,2358,raptors,,
Turkey Vulture,2362,raptors,,
Turkey Vulture,2363,raptors,,
Cathartes sp.,2371.5,raptors,,
new world vulture sp.,2375,raptors,,
Osprey,2376,raptors,,
Osprey,2377,raptors,,
Osprey,2378,raptors,,
White-tailed Kite,2391,raptors,,
Scissor-tailed Kite,2395,raptors,,
Swallow-tailed Kite,2431,raptors,,
Golden Eagle,2588,raptors,,
Mississippi Kite,2634,raptors,,
